epoch,train_loss,test_loss,train_acc,test_acc
1,1.2893864405734459,1.0955517953634262,53.242,61.02
2,0.8417583101088434,0.9859239703416824,70.172,66.48
3,0.644447074826721,1.176546391248703,77.472,62.83
4,0.5276459140698319,0.7522947651147842,81.582,74.12
5,0.44650994538498656,0.71106097728014,84.324,76.96
6,0.377949595451355,0.5390563169121743,86.704,81.84
7,0.3216618821215447,0.5540333321690559,88.746,81.57
8,0.26807033964206495,0.6112543845176697,90.62,81.0
9,0.22920726329240654,0.5615146252512931,92.12,81.6
10,0.19101858628756554,0.5328408941626549,93.358,83.04
11,0.1609090952598073,0.5790691770613193,94.328,83.62
12,0.13914801605293514,0.6437636786699295,95.228,82.36
1,1.3061841643984666,1.4645289838314057,52.854,51.58
2,0.846793268342762,1.058833287358284,69.92,63.79
3,0.6458354812601338,1.0990802037715912,77.602,62.22
4,0.5317262433221578,0.6396308904886245,81.558,77.87
5,0.4482949416503272,0.649476680457592,84.452,77.62
6,0.3823614154782746,0.7915810853242874,86.582,73.39
7,0.3243756832750252,0.5853155037760734,88.76,80.91
1,1.3506233586984522,1.3903375506401061,50.848,52.55
2,0.8876847437275645,0.8518523854017258,68.426,70.67
3,0.6797605384798611,0.7292743057012558,76.188,74.9
4,0.5538782330272752,0.7290219578146935,80.64,75.8
5,0.46602989165374387,0.6782119780778885,83.774,77.06
6,0.4005272586251159,0.5681681349873543,86.054,80.41
7,0.3393619908853565,0.6887844443321228,88.078,77.85
8,0.2868461550958931,0.595564646422863,90.084,81.7
9,0.23942122518863823,0.5673553371429443,91.83,82.55
10,0.2029701135004573,0.5462514908611774,92.91,83.37
11,0.17799585931898687,0.6178080102801323,93.754,81.32
12,0.14157342573489679,0.6824610498547554,95.142,80.5
13,0.1255940365917085,0.5807947291433811,95.644,83.61
14,0.10716529169103221,0.612934033870697,96.286,83.43
15,0.09726724939901962,0.8149659293889999,96.64,79.75
16,0.08208471183877086,0.6863329783082008,97.172,82.42
17,0.07478318356758798,0.6396889777481556,97.47,84.84
18,0.06661514100163718,0.6253939101099968,97.656,84.97
19,0.0646639459402017,0.6727186277508735,97.822,84.33
20,0.06190150989519665,0.7412900075316429,97.8,82.09
